Année,,Référence,Solution,Durée de la relation (en mois),Durée du préavis,Durée raisonnable
2013,,,Insuffisant,120,,6
2013,,,Insuffisant,144,3,12
2013,,,Insuffisant,168,,12
2013,,,Insuffisant,144,,15
2013,,,Insuffisant,168,12,18
2013,,,Insuffisant,204,,6
2013,,,Insuffisant,120,,6
2013,,,Insuffisant,204,,18
2013,,,Insuffisant,192,,15
2013,,,Insuffisant,168,,8
2013,,,Insuffisant,204,,30
2013,,,Insuffisant,120,,12
2013,,,Insuffisant,120,,6
2013,,,Insuffisant,144,,16
2013,,,Insuffisant,156,,18
2013,,,Insuffisant,660,,24
2013,,,Insuffisant,408,,12
2013,,,Insuffisant,120,,10
2013,,,Insuffisant,276,,12
2013,,,Insuffisant,276,3,8
2013,,,Insuffisant,288,,24
2013,,,Insuffisant,264,,20
2013,,,Insuffisant,240,11,24
2013,,,Insuffisant,240,11,24
